LANP_label,ENG_label,AgeGroup,ST_label,n
Japanese,Very well,Adult,New York/NY,13515
German,Very well,Senior,New York/NY,13451
Haitian,Very well,Senior,Florida/FL,13430
Spanish,Not well,Senior,Massachusetts/MA,13423
Spanish,Very well,Senior,Maryland/MD,13403
Arabic,Very well,Adult,North Carolina/NC,13390
French,Very well,Adult,Maine/ME,13358
Pennsylvania German,Very well,Youth,Pennsylvania/PA,13350
Spanish,Well,Youth,Tennessee/TN,13293
Spanish,Well,Senior,New Mexico/NM,13282
Haitian,Well,Senior,Florida/FL,13267
Italian,Very well,Adult,Massachusetts/MA,13253
Chinese,Very well,Adult,Georgia/GA,13208
Haitian,Very well,Youth,New York/NY,13205
Chinese,Well,Adult,Florida/FL,13196
Haitian,Not well,Senior,Florida/FL,13137
French,Very well,Adult,Ohio/OH,13135
Arabic,Very well,Youth,New Jersey/NJ,13110
Telugu,Very well,Adult,Georgia/GA,13105
Lao,Very well,Adult,California/CA,13083
German,Very well,Adult,Georgia/GA,13068
Hindi,Very well,Adult,North Carolina/NC,13027
French,Very well,Youth,New York/NY,13025
Spanish,Not at all,Adult,Louisiana/LA,13010
Italian,Very well,Adult,Illinois/IL,13007
Punjabi,Not well,Adult,California/CA,12997
German,Very well,Senior,Texas/TX,12976
Chinese,Well,Youth,California/CA,12970
French,Very well,Senior,Maine/ME,12947
Farsi,Well,Senior,California/CA,12924
Spanish,Very well,Senior,Ohio/OH,12911
Haitian,Very well,Adult,Georgia/GA,12907
German,Very well,Adult,Wisconsin/WI,12857
Bengali,Very well,Adult,Texas/TX,12843
Italian,Very well,Senior,New Jersey/NJ,12791
Portuguese,Not well,Adult,Florida/FL,12764
Mandarin,Very well,Adult,Massachusetts/MA,12721
Filipino,Very well,Adult,New Jersey/NJ,12718
Swahili,Very well,Adult,Texas/TX,12679
Korean,Not well,Adult,New York/NY,12643
